Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
f4db39b1-693d-e301-0a1f-41d26d3ced36,1985-10-13,,999-53-9135,S99919247,X30081135X,Mr.,Charles364,Buckridge80,,,S,white,nonhispanic,M,Boston  Massachusetts  US,974 Hackett Light Apt 87,Boston,Massachusetts,Suffolk County,02121,42.261990254663765,-71.01042667325494,1193485.6524999999,157.41749999999993
e8503522-82ff-67a2-4dad-29281d6318de,1965-10-07,,999-85-3578,S99974831,X18238057X,Mr.,Leonardo412,Berge125,,,M,white,nonhispanic,M,Lexington  Massachusetts  US,658 Bogisich Orchard,Arlington,Massachusetts,Middlesex County,,42.36926097794551,-71.20492241527782,1478693.5249999994,463.78499999999997
ac643af6-1a32-08ce-df40-1c31348bcb41,1965-10-03,,999-47-3013,S99938466,X64471250X,Mr.,Daren950,Morissette863,,,M,white,nonhispanic,M,Fall River  Massachusetts  US,551 Hartmann Grove Unit 35,Millbury,Massachusetts,Worcester County,,42.17309083813866,-71.80656779096869,1387042.6649999998,12358.244999999999
358f26b9-a982-0346-55d3-65e8667f39e9,1954-03-09,,999-70-5001,S99916785,X68516038X,Ms.,Florencia449,Angulo494,,,S,white,hispanic,F,La Paz  Baja California  MX,931 Kiehn Mission Unit 19,Boston,Massachusetts,Suffolk County,02115,42.363492647335555,-71.01116664324621,265293.5875,432283.96250000014
1017741e-00f0-e3dc-5c93-f5b0053f2cc4,1954-01-25,,999-91-4299,S99941873,X61838051X,Mr.,Vincent299,O'Kon634,,,M,white,nonhispanic,M,Milton  Massachusetts  US,257 Koelpin Port Suite 65,Easthampton,Massachusetts,Hampshire County,01027,42.2432756179224,-72.66968471774108,268228.7599999999,21459.370000000003
34a2a79b-2f80-ea5c-97d2-f6c38036ea25,1938-10-31,,999-74-6881,S99955831,X38935206X,Mrs.,Carolin818,Heller342,,Mills423,M,white,nonhispanic,F,Revere  Massachusetts  US,890 Ebert Drive Unit 2,Andover,Massachusetts,Essex County,,42.69618181276031,-71.14841941601078,2438974.7815000005,167673.69850000003
8ede6eac-1785-055f-411b-43a507a69f78,1927-12-06,,999-92-5490,S99963304,X65660773X,Mrs.,Sierra982,Sporer811,,Schroeder447,M,white,nonhispanic,F,Peabody  Massachusetts  US,821 Kessler Plaza Suite 69,Brockton,Massachusetts,Plymouth County,02351,42.10629277943176,-71.01108210467706,1086237.9499999995,122774.28999999998
71d3115d-9b63-349a-c539-8e46f54d0397,1930-07-20,,999-88-2032,S99962092,X82556977X,Mr.,Shaun461,Quigley282,,,S,black,nonhispanic,M,Lowell  Massachusetts  US,155 Gerhold Village Unit 22,Boston,Massachusetts,Suffolk County,02115,42.356072874815624,-71.06105023183369,2058578.851000001,170628.09900000007
6ad59647-a0db-2a01-dca6-087b48bfb805,1963-02-06,,999-80-3223,S99921017,X19551075X,Mrs.,Lourdes258,Alonzo487,,Cordero852,M,asian,hispanic,F,Portsmouth  Saint John Parish  DM,133 Swift Loaf Suite 0,Nahant,Massachusetts,Essex County,01908,42.43676240082666,-70.92112489758641,1821349.611,364756.5090000001
e849076a-1fff-18e2-cc17-85090698b6e1,1963-11-24,,999-46-1199,S99914158,X65341955X,Mr.,Leandro563,McClure239,,,M,white,nonhispanic,M,Norwood  Massachusetts  US,408 Wilderman Lock,Sutton,Massachusetts,Worcester County,,42.15091072815439,-71.76663757552309,1469067.845,1794.2250000000001
2e313061-dc85-c9a1-2442-d29aa9fc4798,1946-05-25,2005-11-27,999-61-8155,S99987137,X31481016X,Mr.,Lenard338,Koepp521,,,S,white,nonhispanic,M,Fall River  Massachusetts  US,455 Boyer Divide Suite 79,Worcester,Massachusetts,Worcester County,01604,42.21699363695486,-71.76607606718608,1583432.6925,17794.1175
6498d044-5edf-9ef5-f7e7-c1dce2b4e596,1961-10-24,,999-43-7795,S99969557,X77350405X,Mrs.,Kala987,Nikolaus26,,O'Reilly797,M,white,nonhispanic,F,Boston  Massachusetts  US,602 Hirthe Bridge Unit 2,Methuen,Massachusetts,Essex County,01841,42.749392465173976,-71.17609868701913,2473981.8169999993,221482.37300000002
a4a15f85-feb6-3f6e-fc31-a00313cad0f8,1929-01-16,1942-08-05,999-66-9848,,,,Reynaldo722,Lindgren255,,,,white,nonhispanic,M,Westminster  Massachusetts  US,748 Kreiger Flat Apt 73,Plymouth,Massachusetts,Plymouth County,,41.9018718513266,-70.64024561801835,350367.90499999997,68202.52500000021
4d3204cc-fbbe-77ba-8a8c-ea49d0422d33,1970-11-01,,999-65-1832,S99995983,X50956400X,Mr.,Tim88,Kunde533,,,M,white,nonhispanic,M,Salem  Massachusetts  US,1035 Crist Rue Suite 10,Peabody,Massachusetts,Essex County,01960,42.50726916239617,-71.06323256614526,2056617.0325,532.5074999999999
97380229-7b4f-f1f1-0840-e55e7e6b7a43,1941-09-24,,999-95-6434,S99956989,X72910422X,Ms.,Nadine465,Hirthe744,,,S,white,nonhispanic,F,Peabody  Massachusetts  US,627 Paucek Throughway Suite 9,Deerfield,Massachusetts,Franklin County,01342,42.53734733534757,-72.6262059025962,2141834.094,1089985.7559999998
1e7cdf67-1787-d1f1-5dbf-ee25aea4b493,1982-05-27,,999-91-3099,S99914785,X19266032X,Mr.,Lyndon118,Spencer878,,,S,asian,nonhispanic,M,Sharon  Massachusetts  US,660 Mante Gate,Millville,Massachusetts,Worcester County,,42.035659890621226,-71.54728118515075,1007321.4525000002,672.7275
5f5de9db-8676-bafc-06d3-cc24416c72b4,1991-07-06,,999-95-6972,S99997272,X29576776X,Mr.,Rafael239,Beatty507,,,S,white,nonhispanic,M,Foxborough  Massachusetts  US,847 Lind Rest,Tewksbury,Massachusetts,Middlesex County,,42.58073104997407,-71.19099879426695,795598.6725,1058.2275
2d1bbd2b-c02d-f0f7-7ded-6f332f2ed73b,1967-11-28,,999-72-2495,S99958246,X52878911X,Mr.,Dong972,Vandervort697,,,M,other,nonhispanic,M,Arlington  Massachusetts  US,239 Kuphal Club Apt 87,Lawrence,Massachusetts,Essex County,,42.733783279053085,-71.17089087908481,1508161.9675000003,1047.0225
8702b04b-d1f1-fb3f-7787-dd74b3ddd8c3,1943-07-06,,999-51-1140,S99914409,X71802790X,Mrs.,Lakesha141,Torp761,,Torp761,M,white,nonhispanic,F,Wenham  Massachusetts  US,833 Yundt Lodge Unit 73,North Adams,Massachusetts,Berkshire County,01247,42.68248997487066,-73.06518760365176,3028964.0374999996,823555.8625
af412a36-b523-ee6e-c72f-9bf9c4088f8d,1927-11-27,2002-06-09,999-32-3839,S99960360,X14274895X,Mr.,Tory770,Kreiger457,,,M,white,nonhispanic,M,Wellfleet  Massachusetts  US,1034 Schmitt Center,Boston,Massachusetts,Suffolk County,02152,42.39414002657063,-70.9985975495158,1263483.6884999997,57054.231499999994
f2db174c-fb9d-3408-8bf4-8bff7826d2f1,1960-01-19,2009-12-08,999-58-1393,S99966654,X40428337X,Mrs.,Piper612,Marks830,,Nienow652,M,white,nonhispanic,F,Fairhaven  Massachusetts  US,814 Metz Heights,Hampden,Massachusetts,Hampden County,,42.04196993492264,-72.4484529481507,1457562.0599999998,216392.62
adbdeddb-938b-62c0-83c9-58e960f4bd6b,1957-11-20,,999-76-5877,S99995273,X58979592X,Mr.,Fidel864,Bashirian201,,,M,white,nonhispanic,M,Sandwich  Massachusetts  US,656 Rolfson Club,Brookline,Massachusetts,Norfolk County,02215,42.32685431706278,-71.13454685438367,1682982.08,1467.6899999999998
15e34bee-9f5e-e034-3e49-1406647f3b4d,1946-05-25,,999-69-7614,S99927290,X46870286X,Mr.,Dave764,Kreiger457,,,M,white,nonhispanic,M,Leverett  Massachusetts  US,887 Cruickshank Bridge,Worcester,Massachusetts,Worcester County,01608,42.24421151151779,-71.76857033622385,2532252.5155,235813.24450000003
323a0bc9-41a7-bd5c-c431-eab5dca111f5,1929-01-16,,999-29-7238,S99972223,X89508289X,Mr.,Korey682,Predovic534,,,M,white,nonhispanic,M,Newton  Massachusetts  US,935 Koch Mission Apt 45,Plymouth,Massachusetts,Plymouth County,,41.88499740222261,-70.61651679326516,1822578.7024999987,131262.68749999997
d5fcf85c-fbb4-e758-7018-58d168b39a82,1968-06-28,2007-12-20,999-88-3464,S99970851,X1419191X,Mr.,Reid278,Conn188,,,S,white,nonhispanic,M,Boston  Massachusetts  US,918 Walker Track Suite 0,Erving,Massachusetts,Franklin County,,42.599061666205905,-72.44072635696602,976173.9950000002,786.7950000000001
322ab10f-3c76-7f32-7581-d96e262518c2,1923-02-26,1978-09-21,999-97-2573,S99991020,X65778665X,Mrs.,Shirley182,Glover433,,Toy286,M,white,nonhispanic,F,Chelsea  Massachusetts  US,881 Lemke Loaf Suite 66,Attleboro,Massachusetts,Bristol County,02861,41.89049484977278,-71.34475726838001,2633139.1374999997,520848.1825000001
