Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
afa4092c-c82a-3ab0-9367-589bc45310e7,69176529-fd1f-3b3f-abce-a0a3626769eb,Janette321 Fisher429,F,GENERAL PRACTICE,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,390
9630ae7a-83fa-3027-8a31-39b724d36000,5e765f2b-e908-3888-9fc7-df2cb87beb58,Ludivina884 Steuber698,F,GENERAL PRACTICE,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,-71.294503,393
661af315-44fa-3adb-9846-8a0762531040,f1fbcbfb-fcfa-3bd2-b7f4-df20f1b3c3a4,Whitney250 Wyman904,M,GENERAL PRACTICE,ONE GENERAL STREET,LAWRENCE,MA,01842,42.700273,-71.161357,2127
f2c556f9-8e1d-3e80-831f-ebcbfab2cabf,e002090d-4e92-300e-b41e-7d1f21dee4c6,Víctor493 Noriega353,M,GENERAL PRACTICE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,546
a159fd93-46a3-3175-8d8b-acdaf52dd33b,ef6ab57c-ed94-3dbe-9861-812d515918b3,Elena945 Pérez790,F,GENERAL PRACTICE,88 LEWIS BAY ROAD,HYANNIS,MA,02601,41.748854,-70.74053599999998,486
24990fcc-28fb-3cb1-b975-71673d883d2b,fbf6180e-b800-3ebe-b91d-93d0288c400e,Jodie811 Wintheiser220,F,GENERAL PRACTICE,164 HIGH STREET,GREENFIELD,MA,01301,42.614671,-72.597063,392
e03b01e8-e917-38d6-921f-9ac3a9ce6db3,8b58cdd1-3d79-3126-8fe0-da2c54d6805c,Sancho742 Arevalo970,M,GENERAL PRACTICE,2100 DORCHESTER AVENUE,BOSTON,MA,02124,42.33196,-71.020173,87
5854d82f-3e0b-395a-9e4a-6ddff96895a8,ecc51621-0af3-3b35-ac3e-8b1e34022e92,Cecille691 Halvorson124,F,GENERAL PRACTICE,795 MIDDLE STREET,FALL RIVER,MA,02721,41.725351,-71.094162,294
ceff59b8-5bf4-39c0-ac0a-563b87244676,5d4b9df1-93ae-3bc9-b680-03249990e558,Patricia625 Kilback373,F,GENERAL PRACTICE,575 BEECH STREET,HOLYOKE,MA,01040,42.211656,-72.642448,349
564500ea-741d-3630-8ea1-5a280574682b,37b4d73f-652d-3033-a16e-d97b9e8b4cda,Tracy345 Spencer878,F,GENERAL PRACTICE,25 HIGHLAND AVENUE,NEWBURYPORT,MA,01950,42.812141,-70.886646,442
ba6a22f7-1c18-39aa-99d3-5cd5a136721a,08bcda9c-f8c8-3244-82d4-fc306a7a55d3,Leslie90 Crona259,F,GENERAL PRACTICE,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,02118,42.33196,-71.020173,60
